site,pid,hab,method,secs,d_eff,area_ha,win_px,res,area_ratio,iou_orig,edge_pct,contrast,in_std,compact
blenheim,0,CFPGM,orig,0.0,15.0,9.973107939292593,760362,0.739286702025466,1.0,1.0,0.7149538795507272,0.408250093460083,0.17360474169254303,4.389621817293922
blenheim,0,CFPGM,grabcut2,1.93,15.0,9.973107939292593,760362,0.739286702025466,1.075660344298918,0.8186624448282479,0.8847084367548482,0.6598272919654846,0.11984780430793762,3.4278794883752295
blenheim,1,CFPGM,orig,0.0,4.0,0.6389918504871765,839120,0.369643351012733,1.0,1.0,0.602918321206896,0.08739082515239716,0.20464478433132172,27.466472989982847
blenheim,1,CFPGM,grabcut2,2.26,4.0,0.6389918504871765,839120,0.369643351012733,0.5383414258518534,0.44744098053816894,0.79991697231672,0.3035608232021332,0.21310856938362122,11.802001754280093
blenheim,2,CFPGM,orig,0.0,15.0,14.202087085677366,2838384,0.369643351012733,1.0,1.0,0.6465454004774503,0.1685941070318222,0.14901870489120483,14.87988093900296
blenheim,2,CFPGM,grabcut2,8.81,15.0,14.202087085677366,2838384,0.369643351012733,1.0489902731409768,0.8925182569317691,0.946769652517833,0.6938959360122681,0.135532945394516,1.460286051853631
blenheim,3,CFPGM,orig,0.0,4.0,0.06374221129996696,111858,0.369643351012733,1.0,1.0,0.423207142267643,0.055358462035655975,0.025995677337050438,2.1376914092715924
blenheim,3,CFPGM,grabcut2,0.25,4.0,0.06374221129996696,111858,0.369643351012733,0.4156484458735263,0.4156484458735263,0.6151269466645211,0.6248549222946167,0.025987058877944946,3.6936423100233573
blenheim,4,DWOOD,orig,0.0,4.0,0.3400539643179929,3245300,0.369643351012733,1.0,1.0,0.8232999709015626,0.2269376814365387,0.30204159021377563,6.982756109764127
blenheim,4,DWOOD,grabcut2,4.12,4.0,0.3400539643179929,3245300,0.369643351012733,1.6320546294436633,0.591919535482617,0.8902178056909198,0.47074222564697266,0.3122440278530121,5.203775145223439
blenheim,5,DWOOD,orig,0.0,4.0,0.14986588339674325,920580,0.369643351012733,1.0,1.0,0.851724874290802,0.19859442114830017,0.42101067304611206,2.1702940191223643
blenheim,5,DWOOD,grabcut2,1.6,4.0,0.14986588339674325,920580,0.369643351012733,1.5409716525385107,0.541698927109833,0.9016700899059185,0.4571574628353119,0.44714537262916565,3.1265435962147805
blenheim,6,DWOOD,orig,0.0,4.0,0.2643623713413177,847740,0.369643351012733,1.0,1.0,0.8241480836341163,0.26161831617355347,0.28113967180252075,4.26147393666715
blenheim,6,DWOOD,grabcut2,1.11,4.0,0.2643623713413177,847740,0.369643351012733,0.0007234394377842084,0.0007234394377842084,0.8611929818958174,0.40785473585128784,0.06365129351615906,1.1140846016432675
blenheim,7,DWOOD,orig,0.0,4.0,0.5464833845419365,2755551,0.369643351012733,1.0,1.0,0.793998108080631,0.45373883843421936,0.23481658101081848,12.714060797907441
blenheim,7,DWOOD,grabcut2,3.96,4.0,0.5464833845419365,2755551,0.369643351012733,1.347125,0.6463542945323186,0.843128602164795,0.6176092028617859,0.2383425384759903,10.052414940969689
blenheim,8,DWOOD,orig,0.0,4.0,0.006353235047720041,51282,0.369643351012733,1.0,1.0,0.7368116836367375,0.24695415794849396,0.5423373579978943,0.8495198487475896
blenheim,8,DWOOD,grabcut2,0.08,4.0,0.006353235047720041,51282,0.369643351012733,1.0718954248366013,0.43655589123867067,0.8789791510556707,0.1477830410003662,0.5719891786575317,0.38834453085735837
blenheim,10,DWOOD,orig,0.0,4.0,0.1171859102476745,211351,0.369643351012733,1.0,1.0,0.5130850350533969,0.2800377309322357,0.20317381620407104,3.2289215345779674
blenheim,10,DWOOD,grabcut2,0.46,4.0,0.1171859102476745,211351,0.369643351012733,1.519990674903835,0.628059341817908,0.5583746695684679,0.16749770939350128,0.18603269755840302,2.218948224796817
blenheim,11,DWOOD,orig,0.0,7.556937050044265,0.332081123424961,178829,0.369643351012733,1.0,1.0,0.7124847625171176,0.07202329486608505,0.25532272458076477,2.5419758783675324
blenheim,11,DWOOD,grabcut2,0.53,7.556937050044265,0.332081123424961,178829,0.369643351012733,1.0524734546053174,0.6532736615282613,0.8367494353079081,0.48564237356185913,0.26295557618141174,1.380247329958721
