site,pid,hab,method,secs,d_eff,area_ha,win_px,res,area_ratio,iou_orig,edge_pct,contrast,in_std,compact
dunthropfarm,0,DWOOD,sam2,12.89,4.0,0.3066725138204844,244338,0.3704545853090021,1.1727008279257105,0.6440568912969861,0.8425185193975477,0.6857147216796875,0.4825102388858795,0.5852636961458777
dunthropfarm,0,DWOOD,sam2iter,2.96,4.0,0.3066725138204844,244338,0.3704545853090021,1.1626762139181024,0.6488109454433791,0.8308300284822102,0.646248996257782,0.4837872385978699,0.5610977501028822
dunthropfarm,0,DWOOD,sam2tile,1.98,4.0,0.3066725138204844,244338,0.3704545853090021,0.8699485343477288,0.7640055726769959,0.8325049539325402,0.31650903820991516,0.3853127658367157,0.986913751621411
dunthropfarm,1,LMEAD,sam2,3.01,15.0,4.821383245014923,1235052,0.3704545853090021,0.8039764883366779,0.7267879864530175,0.6376774250311494,0.5784378051757812,0.050214365124702454,3.6737116996554344
dunthropfarm,1,LMEAD,sam2iter,3.08,15.0,4.821383245014923,1235052,0.3704545853090021,0.8442651181987675,0.7635076469163289,0.7193931233238907,0.8153494000434875,0.05139806866645813,4.228590308555633
dunthropfarm,1,LMEAD,sam2tile,8.98,15.0,4.821383245014923,1235052,0.3704545853090021,0.9881957787171057,0.9579884227788134,0.7669690119688571,0.296608030796051,0.21382513642311096,2.8757263853009913
hrwallingford,0,DWOOD,sam2,2.96,15.0,3.037310075000029,944927,0.33600224309596755,1.0364741302408564,0.8498274732769273,0.6912775037900918,0.471045583486557,0.16962659358978271,3.2217613680510184
hrwallingford,0,DWOOD,sam2iter,3.04,15.0,3.037310075000029,944927,0.33600224309596755,1.0649271483794231,0.8914525986074937,0.7174396104632631,0.5774675011634827,0.1640676110982895,2.3423220513243286
hrwallingford,0,DWOOD,sam2tile,8.95,15.0,3.037310075000029,944927,0.33600224309596755,0.9927111210228963,0.973514394990742,0.648692648724179,0.3279217481613159,0.14069460332393646,2.296092172608347
hrwallingford,1,DWOOD,sam2,1.83,9.346666323026389,0.5829846044325725,314104,0.33600224309596755,1.055457627118644,0.517504218745531,0.5389302934403168,0.1407890021800995,0.1595849096775055,5.250080163575785
hrwallingford,1,DWOOD,sam2iter,1.99,9.346666323026389,0.5829846044325725,314104,0.33600224309596755,0.7156610169491525,0.6455058893471557,0.5894239333185524,0.04418138414621353,0.17069116234779358,5.96388628413599
