site,pid,hab,method,secs,area_ha,win_px,res,area_ratio,iou_orig,edge_pct,contrast,in_std,compact
dunthropfarm,0,DWOOD,sam2tile,10.42,0.3066725138204844,244338,0.3704545853090021,0.8790333407921235,0.7623084994753411,0.8332050354323259,0.3364521861076355,0.3956531286239624,1.066201181614678
dunthropfarm,1,LMEAD,sam2tile,8.26,4.821383245014923,1235052,0.3704545853090021,0.9881957787171057,0.9579884227788134,0.7669690119688571,0.296608030796051,0.21382513642311096,2.8757263853009913
hrwallingford,0,DWOOD,sam2tile,8.52,3.037310075000029,944927,0.33600224309596755,0.9927111210228963,0.973514394990742,0.648692648724179,0.3279217481613159,0.14069460332393646,2.296092172608347
hrwallingford,1,DWOOD,sam2tile,1.36,0.5829846044325725,314104,0.33600224309596755,1.0297530266343826,0.9152988484737707,0.5380800650540227,0.2609221041202545,0.1654060333967209,3.138586612371374
hrwallingford,2,GQSIG,sam2tile,1.72,0.6269813688570003,288696,0.33600224309596755,0.8832543984441122,0.8615981629492497,0.539871265148639,0.4487055838108063,0.06352726370096207,2.006219315268967
hrwallingford,3,GQSIG,sam2tile,1.65,0.5234629728115676,244791,0.33600224309596755,0.9324534161490683,0.8836241328568425,0.5284850110135256,0.09505081176757812,0.08679204434156418,1.435046702104459
essex,0,CVSHI,sam2tile,7.5,10.219344647054971,1471080,0.3721115909284903,0.9914682426774841,0.9809070338180137,0.7777752721433704,0.6519759297370911,0.10871148109436035,1.7018790584677708
essex,1,DWOOD,sam2tile,3.65,0.023944500453630585,249522,0.18605579546424514,1.0177874186550977,0.8903942555209321,0.6856654216571538,0.4882424771785736,0.06417421996593475,0.9706800731384004
essex,2,DWOOD,sam2tile,5.8,0.46199955916064184,588654,0.18605579546424514,0.9028219038484594,0.8793191489361702,0.5980415127974547,0.7159040570259094,0.07973026484251022,1.482086569165078
blenheim,0,CFPGM,sam2tile,4.94,9.973107939292593,760362,0.739286702025466,0.9891640019273731,0.931534817445675,0.73587040096737,0.1409836709499359,0.14029797911643982,3.367714208454151
blenheim,1,CFPGM,sam2tile,4.44,0.6389918504871765,839120,0.369643351012733,0.7667429573698958,0.6619449083482565,0.7123592586067603,0.3134239614009857,0.19860167801380157,19.56905395737707
blenheim,2,CFPGM,sam2tile,18.0,14.202087085677366,2838384,0.369643351012733,1.0031614697081943,0.9360761759523156,0.8128038785632233,0.1638474315404892,0.13494576513767242,3.081308484328357
blenheim,3,CFPGM,sam2tile,1.12,0.06374221129996696,111858,0.369643351012733,0.7984994640943194,0.7032074705643524,0.5116563109661132,0.18605275452136993,0.025922294706106186,2.426183588188384
blenheim,4,DWOOD,sam2tile,11.65,0.3400539643179929,3245300,0.369643351012733,1.1066077525607552,0.8068561584840654,0.8542302396690246,0.37662777304649353,0.29317477345466614,7.092874733343769
blenheim,5,DWOOD,sam2tile,5.25,0.14986588339674325,920580,0.369643351012733,1.086865372345274,0.7192310580461064,0.8484040762591163,0.18332694470882416,0.4243101179599762,2.845735496849715
blenheim,6,DWOOD,sam2tile,4.95,0.2643623713413177,847740,0.369643351012733,1.1622054568003306,0.7909943072379403,0.8403102221602246,0.3839438855648041,0.2891850471496582,5.02728933932068
blenheim,7,DWOOD,sam2tile,12.97,0.5464833845419365,2755551,0.369643351012733,1.0385,0.8018694893156255,0.8127007310938414,0.5845988392829895,0.24013972282409668,14.94395376340237
blenheim,8,DWOOD,sam2tile,0.95,0.006353235047720041,51282,0.369643351012733,1.1655773420479303,0.6904761904761905,0.7571706263498921,0.5393177270889282,0.5690717101097107,0.6092510718732741
blenheim,10,DWOOD,sam2tile,1.93,0.1171859102476745,211351,0.369643351012733,1.037300384660217,0.8751206952043772,0.5233833641476907,0.22845038771629333,0.20232410728931427,3.07074788391867
blenheim,11,DWOOD,sam2tile,1.14,0.332081123424961,178829,0.369643351012733,0.9399127500205778,0.8837069895695959,0.736572751312692,0.0959983617067337,0.25567930936813354,2.103653004596
northfieldfarm,0,CFPGM,sam2tile,1.25,0.01394595017919552,242672,0.3999735911892182,1.8564867967853043,0.38530066815144765,0.7642255831236981,0.768655002117157,0.10884387791156769,3.6142542286987904
northfieldfarm,1,CFPGM,sam2tile,2.02,0.011983131651614272,265850,0.3999735911892182,2.327127659574468,0.3853820598006645,0.842568007039077,0.3824463486671448,0.14268173277378082,2.0824742210961253
northfieldfarm,2,CFPGM,sam2tile,1.14,0.02477408411663763,181864,0.3999735911892182,2.430135222150676,0.4014732965009208,0.9074279158844953,0.5322684645652771,0.1061609536409378,8.289404295545006
northfieldfarm,3,CFPGM,sam2tile,0.97,0.012268044585388245,80840,0.3999735911892182,1.0984455958549222,0.7197452229299363,0.8798253967073106,0.6614300608634949,0.16042274236679077,5.315549880010212
northfieldfarm,4,CFPGM,sam2tile,1.03,0.07461151515668701,155105,0.3999735911892182,1.0330117899249731,0.8621637541723934,0.785242694019306,0.7279135584831238,0.19269220530986786,1.7334975416076785
northfieldfarm,5,CFPGM,sam2tile,8.34,5.758912285592404,1002432,0.3999735911892182,0.9999888876233126,0.9806914539461737,0.7431930113358876,0.1445828229188919,0.237869530916214,1.8184452065212462
northfieldfarm,6,CFPGM,sam2tile,0.9,0.012336349999947422,52685,0.3999735911892182,1.0156862745098039,0.8467065868263473,0.4649231660467101,0.44884365797042847,0.09701242297887802,1.5747531563584187
northfieldfarm,7,CFPGM,sam2tile,6.18,0.3170308911343801,881895,0.3999735911892182,0.9444668616967619,0.7194148343071228,0.9050226463435233,0.650382399559021,0.17472794651985168,19.154388771771195
northfieldfarm,8,CFPGM,sam2tile,8.95,44.97216584635368,1632384,0.7999471823784364,0.9963103306473071,0.9886051799017996,0.8551467664108832,0.22246293723583221,0.11555216461420059,1.5033740055612395
northfieldfarm,9,CFPGM,sam2tile,1.55,0.07773633494230592,355062,0.3999735911892182,0.9273064250411862,0.9265129682997119,0.7980550454759592,0.10344980657100677,0.3905457556247711,37.773126602499794
northfieldfarm,10,CFPGM,sam2tile,1.43,1.652080424539921,338040,0.7999471823784364,1.0585279109324262,0.8539149810256589,0.82376229235972,0.26053112745285034,0.2258666753768921,12.464795783248226
northfieldfarm,11,CFPGM,sam2tile,0.96,0.04894044142450046,283566,0.3999735911892182,1.3713726768829475,0.5048624043037451,0.7627433875449969,0.06386341154575348,0.420998752117157,26.16588998780992
northfieldfarm,12,"CFPGM, LMEAD",sam2tile,3.04,13.612135474854012,754887,0.7999471823784364,0.9944215661875537,0.9796506208285171,0.8241419218201249,0.5700648427009583,0.13356761634349823,0.5474317546652925
northfieldfarm,13,"CFPGM, LMEAD",sam2tile,4.27,2.6537364174022167,544452,0.3999735911892182,0.8964047598953498,0.8958904604926144,0.7415499204688377,0.6024948358535767,0.058163631707429886,1.089743263701576
northfieldfarm,14,"CFPGM, LMEAD",sam2tile,5.86,5.763679955309966,1121637,0.3999735911892182,0.9949479387867836,0.9768448733042129,0.7383800887921845,0.5585173964500427,0.25764623284339905,2.3263357469711745
northfieldfarm,15,GQSIG,sam2tile,12.91,14.30329045797594,2381526,0.3999735911892182,0.981237466012131,0.96208339194747,0.846698787318797,0.25669533014297485,0.1128164529800415,1.6920429584636492
northfieldfarm,16,GQSIG,sam2tile,5.57,2.476337345676537,1217622,0.3999735911892182,0.9712683409033642,0.9666686004164008,0.6269642211487699,0.23046204447746277,0.13118389248847961,1.0870183095018728
northfieldfarm,17,LFENS,sam2tile,2.29,0.903935198150173,334650,0.3999735911892182,0.9939654562185886,0.966954123315411,0.8151622887171736,0.35664060711860657,0.23657627403736115,1.6987800277810798
northfieldfarm,18,LMEAD,sam2tile,0.67,0.006844394880802918,75594,0.3999735911892182,1.0515222482435598,0.6162361623616236,0.905003120727824,0.5944153666496277,0.1262483149766922,2.6379311503115486
northfieldfarm,19,LMEAD,sam2tile,9.99,4.001258176666689,1949342,0.3999735911892182,0.9607938779916358,0.9455940460510656,0.8475011005929609,0.3703943192958832,0.12650853395462036,3.884570955414228
northfieldfarm,20,LMEAD,sam2tile,1.5,1.4146818932834524,337545,0.3999735911892182,0.9848114722580353,0.9443724310610341,0.6539917293899478,0.060980312526226044,0.1145138368010521,1.1483861025157758
northfieldfarm,21,LMEAD,sam2tile,0.84,0.05664444424824838,250125,0.3999735911892182,0.9980225988700565,0.9980225988700565,0.5838973186719049,0.37609320878982544,0.06079807132482529,14.271598984165633
northfieldfarm,22,LMEAD,sam2tile,0.91,0.03780283687756876,139084,0.3999735911892182,1.2975486052409129,0.6111440426793124,0.7666917309001471,0.13345205783843994,0.3596324026584625,3.5677924303113304
northfieldfarm,23,LMEAD,sam2tile,0.65,0.09867124459015732,72828,0.3999735911892182,0.9612075961694531,0.8809153175591532,0.5850707671761323,0.20981526374816895,0.2873556911945343,1.5625376509345392
northfieldfarm,24,LMEAD,sam2tile,0.68,0.030709521713212,140986,0.3999735911892182,0.8671875,0.8623376623376623,0.5806304342361197,0.253309428691864,0.17172570526599884,6.543036549333475
northfieldfarm,25,LMEAD,sam2tile,1.06,0.034426316907634064,134211,0.3999735911892182,1.1915285451197053,0.554031994776363,0.7175623606004768,0.050906043499708176,0.3265819251537323,5.79169019725986
northfieldfarm,26,LMEAD,sam2tile,0.76,0.028583290699928755,116948,0.3999735911892182,1.4327941996653653,0.6629813191002669,0.7448211443837234,0.3004598021507263,0.06680753082036972,4.68732680879889
northfieldfarm,27,LMEAD,sam2tile,0.91,0.0771010490879712,231920,0.3999735911892182,1.0345114345114346,0.5489078822412156,0.7454859876465233,0.08571326732635498,0.13841702044010162,13.891258368996633
millbrook,0,DWOOD,sam2tile,1.11,0.042445998500073266,138351,0.2999328380672917,1.0500211954217888,0.9137316976652157,0.6212207187014277,0.26788729429244995,0.10354603826999664,2.4683473128051077
millbrook,1,DWOOD,sam2tile,3.69,0.6655653944364446,624016,0.2999328380672917,0.9796817757830559,0.9490131360048977,0.5262263212286169,0.1946348249912262,0.05853263661265373,2.7865280956409904
millbrook,2,DWOOD,sam2tile,6.15,4.710843751410352,1707827,0.5998656761345834,1.0298210887525125,0.9196010407632264,0.6294109185302049,0.4278734624385834,0.0639670267701149,8.658353594503717
millbrook,3,DWOOD,sam2tile,2.87,0.4697749956899808,387810,0.2999328380672917,0.975372005285635,0.9026783737917804,0.6314348946923316,0.31277427077293396,0.09741830080747604,4.839865226693517
millbrook,4,DWOOD,sam2tile,2.18,0.08853336104990175,396952,0.2999328380672917,0.9904335436596784,0.7667570009033423,0.7128090893626925,0.5042210817337036,0.060926519334316254,12.940448179165758
millbrook,5,DWOOD,sam2tile,4.97,1.6914090643252675,720318,0.2999328380672917,0.9808050293057048,0.9567538315233096,0.5975113764898315,0.37558430433273315,0.07534467428922653,1.6207482771503465
millbrook,6,DWOOD,sam2tile,1.06,0.04033630430005902,148379,0.2999328380672917,0.9788088333705108,0.8305819232356583,0.603547630683114,0.4955112934112549,0.04865974932909012,2.8009710352780472
millbrook,7,DWOOD,sam2tile,7.56,1.9673447735000908,1068210,0.2999328380672917,1.0130276328484744,0.9686123520389226,0.583062812254394,0.13411813974380493,0.04953612759709358,2.8626197389964503
millbrook,8,DWOOD,sam2tile,3.22,0.9587119353655297,595653,0.2999328380672917,0.995646013381002,0.9400490772921741,0.7073432031707024,0.32165807485580444,0.06797411292791367,2.1751218055209587
millbrook,9,DWOOD,sam2tile,1.29,0.16157965616545633,250416,0.2999328380672917,1.0240494349496188,0.9340390446300335,0.5917416383090474,0.21713030338287354,0.043149951845407486,2.4269117213779934
millbrook,10,DWOOD,sam2tile,2.83,1.3266043873202586,532228,0.2999328380672917,0.969402494184982,0.9342235838689267,0.6436658983311274,0.10991336405277252,0.08828695118427277,2.7757502292210052
millbrook,11,DWOOD,sam2tile,1.5,0.2070589935649336,331520,0.2999328380672917,0.9472883712845472,0.8507764744754667,0.7058708590306612,0.540800154209137,0.09426569193601608,2.839819485981457
millbrook,12,DWOOD,sam2tile,2.7,1.104746217074816,501772,0.2999328380672917,0.9745755120322489,0.9532448282528839,0.7086495798623799,0.3840010166168213,0.12706802785396576,2.7429241901318075
millbrook,13,DWOOD,sam2tile,1.52,0.11837667283143123,265815,0.2999328380672917,0.9528911176962237,0.816909373674537,0.7548321305488584,0.7440515160560608,0.09290027618408203,2.9600522385772736
millbrook,14,DWOOD,sam2tile,0.95,0.06018478799996145,113696,0.2999328380672917,0.9687640113585413,0.9141238012205755,0.647354564470411,0.3612031936645508,0.06368595361709595,1.202734543333068
