site,pid,hab,method,secs,area_ha,win_px,res,area_ratio,iou_orig,edge_pct,contrast,in_std,compact
essex,0,CVSHI,orig,0.0,10.219344647054971,1471080,0.3721115909284903,1.0,1.0,0.7660761104090191,0.718052327632904,0.10858362168073654,2.4326641543648457
essex,0,CVSHI,grabcut,3.9,10.219344647054971,1471080,0.3721115909284903,1.03556998967572,0.9402161068989163,0.9454379197351205,1.2390165328979492,0.10846132040023804,1.433056454314989
essex,0,CVSHI,grabcut2,4.05,10.219344647054971,1471080,0.3721115909284903,0.9779653852094529,0.9392186372977087,0.9306974051814823,0.8877816200256348,0.10951989889144897,1.5736036721615596
essex,0,CVSHI,superpixel,83.92,10.219344647054971,1471080,0.3721115909284903,1.0703731102638518,0.9095123725073165,0.7806306629189401,0.6549198627471924,0.10775952786207199,3.2246726376906594
essex,0,CVSHI,pixelclf,4.94,10.219344647054971,1471080,0.3721115909284903,1.0088460923548843,0.9174084367155806,0.7444938464756268,0.6174576878547668,0.1083175539970398,7.594954381463233
essex,0,CVSHI,watershed,0.89,10.219344647054971,1471080,0.3721115909284903,1.0578308714938773,0.9414093357500581,0.9684571349403682,1.3660175800323486,0.1086575835943222,1.1465811981845302
essex,0,CVSHI,randomwalker,1.33,10.219344647054971,1471080,0.3721115909284903,1.0851075649061195,0.9084755851805921,0.6744164822780535,0.32284626364707947,0.11021976172924042,0.2588386977182721
essex,0,CVSHI,gac,10.87,10.219344647054971,1471080,0.3721115909284903,1.0019415607818272,0.9898846927699323,0.8619420431116624,0.7092997431755066,0.10858915001153946,1.7105864055084266
essex,1,DWOOD,orig,0.0,0.023944500453630585,249522,0.18605579546424514,1.0,1.0,0.6523619396383661,0.2927606701850891,0.06698576360940933,0.9879459659794739
essex,1,DWOOD,grabcut,1.72,0.023944500453630585,249522,0.18605579546424514,1.942010122921186,0.48539719626168226,0.8996696348044467,0.5650549530982971,0.07243706285953522,0.5440411114127567
essex,1,DWOOD,grabcut2,1.51,0.023944500453630585,249522,0.18605579546424514,1.3295733911785972,0.5726837840476423,0.9042391088292387,0.7056849598884583,0.07307008653879166,0.49027477683800946
essex,1,DWOOD,superpixel,6.66,0.023944500453630585,249522,0.18605579546424514,0.9988430947216197,0.9988430947216197,0.6535415762803047,0.29205068945884705,0.06696982681751251,0.9689395333739974
essex,1,DWOOD,pixelclf,6.95,0.023944500453630585,249522,0.18605579546424514,1.8924078091106291,0.2750860640061201,0.6038919879124744,0.547289252281189,0.07701176404953003,30.322197082177276
essex,1,DWOOD,watershed,0.11,0.023944500453630585,249522,0.18605579546424514,2.5026753434562545,0.37838606874573183,0.9022819139505251,0.5797292590141296,0.06966931372880936,0.960341809482239
essex,1,DWOOD,randomwalker,0.16,0.023944500453630585,249522,0.18605579546424514,2.2112798264642084,0.45222680007847754,0.7273950257090669,0.19822755455970764,0.0811644122004509,0.42568300716580576
essex,1,DWOOD,gac,3.64,0.023944500453630585,249522,0.18605579546424514,1.030947216196674,0.9309775883404372,0.7450624666131905,0.2163260281085968,0.06855303794145584,0.9582895714333094
essex,2,DWOOD,orig,0.0,0.46199955916064184,588654,0.18605579546424514,1.0,1.0,0.5836469874784521,0.3402840793132782,0.08048322796821594,1.85334664726574
essex,2,DWOOD,grabcut,5.5,0.46199955916064184,588654,0.18605579546424514,1.630035367461935,0.6115205024724177,0.8601917893021459,0.7636922001838684,0.08049357682466507,1.1434561796910903
essex,2,DWOOD,grabcut2,5.34,0.46199955916064184,588654,0.18605579546424514,1.156478539743436,0.7371057793873548,0.8776712463505314,1.3833189010620117,0.08248794078826904,2.213573546553481
essex,2,DWOOD,superpixel,8.94,0.46199955916064184,588654,0.18605579546424514,0.8057711905047357,0.5994942489065289,0.7491201891462839,1.1821860074996948,0.07390341907739639,12.048344438282156
essex,2,DWOOD,pixelclf,7.37,0.46199955916064184,588654,0.18605579546424514,1.0218798705191223,0.6671115065243179,0.6296508394390786,1.0142943859100342,0.07614974677562714,16.064762753920995
essex,2,DWOOD,watershed,0.25,0.46199955916064184,588654,0.18605579546424514,1.2650311713223834,0.6772571910511364,0.8807183260549047,0.4845232367515564,0.08514053374528885,0.8501642340420135
essex,2,DWOOD,randomwalker,1.17,0.46199955916064184,588654,0.18605579546424514,1.261516904447908,0.7102502932459923,0.5908659509223982,0.24076823890209198,0.08480475842952728,0.39659743857075547
essex,2,DWOOD,gac,8.28,0.46199955916064184,588654,0.18605579546424514,1.0047506294209327,0.9840266963292548,0.6622278796622063,0.3172528147697449,0.08051446080207825,1.7414398210366986
