site,pid,hab,method,secs,area_ha,win_px,res,area_ratio,iou_orig,edge_pct,contrast,in_std,compact
northfieldfarm,0,CFPGM,orig,0.0,0.01394595017919552,242672,0.3999735911892182,1.0,1.0,0.7151884938631113,0.57248455286026,0.10062836855649948,9.650253079266044
northfieldfarm,0,CFPGM,grabcut,0.46,0.01394595017919552,242672,0.3999735911892182,4.437428243398393,0.184,0.6695119012174526,0.75477135181427,0.10379037261009216,1.6373399345976565
northfieldfarm,0,CFPGM,grabcut2,0.43,0.01394595017919552,242672,0.3999735911892182,6.126291618828932,0.1382725105446543,0.6807293787416521,0.6097782254219055,0.15001197159290314,1.6044345387554788
northfieldfarm,0,CFPGM,superpixel,2.12,0.01394595017919552,242672,0.3999735911892182,0.40757749712973596,0.40757749712973596,0.6738232631584795,0.7824899554252625,0.09640724956989288,10.3618834428491
northfieldfarm,0,CFPGM,pixelclf,1.56,0.01394595017919552,242672,0.3999735911892182,0.851894374282434,0.28423566878980894,0.6994476840127637,0.7687541842460632,0.11036241054534912,14.209833786997143
northfieldfarm,0,CFPGM,watershed,0.09,0.01394595017919552,242672,0.3999735911892182,5.404133180252583,0.14750051429746966,0.8092034617240927,0.5134817957878113,0.11032614856958389,2.215455742780362
northfieldfarm,0,CFPGM,randomwalker,0.11,0.01394595017919552,242672,0.3999735911892182,7.219288174512055,0.12174866812911313,0.47608937390986156,0.5276538729667664,0.12522822618484497,1.1465964534882962
northfieldfarm,0,CFPGM,gac,1.65,0.01394595017919552,242672,0.3999735911892182,0.9667049368541906,0.3704,0.7553251085367759,0.8950989842414856,0.10464008152484894,4.2476601914027
northfieldfarm,1,CFPGM,orig,0.0,0.011983131651614272,265850,0.3999735911892182,1.0,1.0,0.7221503739248891,0.08793295919895172,0.1405615508556366,7.657321035287659
northfieldfarm,1,CFPGM,grabcut,0.55,0.011983131651614272,265850,0.3999735911892182,5.6462765957446805,0.16476345840130505,0.8933132729519858,0.7669411897659302,0.21187448501586914,1.0000785348947983
northfieldfarm,1,CFPGM,grabcut2,0.58,0.011983131651614272,265850,0.3999735911892182,4.920212765957447,0.16911764705882354,0.8955530305970354,0.7384330034255981,0.21823199093341827,0.8178198258201785
northfieldfarm,1,CFPGM,superpixel,3.58,0.011983131651614272,265850,0.3999735911892182,0.7566489361702128,0.7566489361702128,0.7485946642033705,0.182480588555336,0.15094439685344696,3.715806399831782
northfieldfarm,1,CFPGM,pixelclf,1.54,0.011983131651614272,265850,0.3999735911892182,1.1715425531914894,0.2827965435978005,0.8043000202698696,0.7215267419815063,0.12148237973451614,6.880696336531338
northfieldfarm,1,CFPGM,watershed,0.11,0.011983131651614272,265850,0.3999735911892182,4.961436170212766,0.19482942430703626,0.9630629771751215,0.9399815797805786,0.13512086868286133,1.781396408734681
northfieldfarm,1,CFPGM,randomwalker,0.13,0.011983131651614272,265850,0.3999735911892182,3.9986702127659575,0.21650485436893205,0.7935255296304122,0.4650757908821106,0.20223583281040192,0.7558404272776229
northfieldfarm,1,CFPGM,gac,1.76,0.011983131651614272,265850,0.3999735911892182,1.327127659574468,0.43796220213640097,0.8353773067239132,0.3140738904476166,0.11874634772539139,1.607815767788065
northfieldfarm,2,CFPGM,orig,0.0,0.02477408411663763,181864,0.3999735911892182,1.0,1.0,0.8758890929832686,0.13125436007976532,0.1225893497467041,20.596678784753987
