method,secs,iou_orig,area_ratio,edge_pct,contrast,in_std,compact,area_ratio_med
orig,0.0,1.0,1.0,0.656,0.328,0.164,6.644,1.0
gac,4.362,0.849,1.024,0.725,0.382,0.16,5.383,1.01
randomwalker,0.346,0.562,1.816,0.642,0.272,0.188,1.311,1.2
watershed,0.37,0.546,1.661,0.879,0.497,0.171,3.042,1.11
superpixel,23.688,0.675,0.792,0.664,0.432,0.139,9.921,0.95
pixelclf,2.585,0.488,1.188,0.653,0.518,0.132,16.924,1.04
grabcut,2.211,0.548,1.875,0.822,0.619,0.171,1.993,1.21
grabcut2,2.096,0.528,1.781,0.817,0.648,0.155,2.112,1.16
sam2,3.159,0.565,1.621,0.693,0.565,0.157,5.044,1.16
sam2mask,3.051,0.831,1.078,0.685,0.416,0.156,4.821,1.0
sam2iter,3.1,0.646,1.392,0.709,0.596,0.154,3.624,1.0
sam2auto,4.074,0.761,0.823,0.69,0.38,0.158,6.834,0.96
sam2tile,3.498,0.836,1.01,0.688,0.408,0.155,4.772,0.98
